epoch,loss,mae,val_loss,val_mae
0,0.025918930768966675,0.12410902976989746,0.015078871510922909,0.09695501625537872
1,0.016245873644948006,0.1000899150967598,0.012254610657691956,0.08693921566009521
2,0.013576001860201359,0.09075956046581268,0.010830998420715332,0.08162344247102737
3,0.012210367247462273,0.08641445636749268,0.009699529968202114,0.0758909285068512
4,0.011158234439790249,0.0825168639421463,0.009075082838535309,0.07350137829780579
5,0.010507183149456978,0.07997722923755646,0.008573678322136402,0.07107555121183395
6,0.010032029822468758,0.07816161215305328,0.008220847696065903,0.06941798329353333
7,0.009678210131824017,0.07678458839654922,0.00796561036258936,0.06829946488142014
8,0.009423659183084965,0.07577073574066162,0.007783805951476097,0.06758735328912735
9,0.009244954213500023,0.07507428526878357,0.0076561300083994865,0.06712953001260757
10,0.00912212859839201,0.07461044937372208,0.0075669256038963795,0.06684058159589767
11,0.009038490243256092,0.07429993897676468,0.0075043849647045135,0.06667865067720413
12,0.008981275372207165,0.07408583909273148,0.007459929678589106,0.06656207144260406
13,0.008941794745624065,0.07393535226583481,0.007427406497299671,0.066470667719841
14,0.008914217352867126,0.07383572310209274,0.007402491755783558,0.06641396880149841
15,0.008894536644220352,0.07377370446920395,0.007382206153124571,0.06636865437030792
16,0.00887997541576624,0.07372789829969406,0.007364476099610329,0.06632784754037857
17,0.008868636563420296,0.0736938863992691,0.00734782824292779,0.06628952920436859
18,0.008859162218868732,0.07366576790809631,0.007331199944019318,0.06625108420848846
19,0.008850505575537682,0.07364010065793991,0.007313874550163746,0.06620549410581589
20,0.00884169340133667,0.07361629605293274,0.007295697461813688,0.06615325808525085
21,0.008831772021949291,0.07359487563371658,0.007277749478816986,0.06609928607940674
22,0.00882048811763525,0.07357293367385864,0.007263257633894682,0.06605597585439682
23,0.008810441941022873,0.07355505228042603,0.0072562796995043755,0.06604292243719101
24,0.008805090561509132,0.07353359460830688,0.007259649224579334,0.06607408076524734
25,0.008799267001450062,0.07350988686084747,0.007265497464686632,0.06611321121454239
26,0.008791728876531124,0.07349361479282379,0.0072637638077139854,0.06611136347055435
27,0.008787920698523521,0.0734744518995285,0.007272330578416586,0.06617192924022675
28,0.008781163953244686,0.07345674932003021,0.007277174387127161,0.06621053814888
