epoch,loss,mae,val_loss,val_mae
0,0.11233413219451904,0.25251755118370056,0.013317309319972992,0.09064429998397827
1,0.01510262954980135,0.09528910368680954,0.01253646519035101,0.0873689129948616
2,0.014216613955795765,0.09224873036146164,0.011752158403396606,0.08399873226881027
3,0.013473558239638805,0.08979728817939758,0.011149178259074688,0.08158553391695023
4,0.012889636680483818,0.08799146115779877,0.010751064866781235,0.07999226450920105
5,0.01249748095870018,0.08689258247613907,0.01050641667097807,0.07890120893716812
6,0.012253857217729092,0.08623161911964417,0.010353931225836277,0.07822622358798981
7,0.012092136777937412,0.0857832282781601,0.010241287760436535,0.07774540036916733
8,0.011964472942054272,0.08539102971553802,0.010140692815184593,0.07728885114192963
9,0.011847581714391708,0.08499592542648315,0.010042484849691391,0.07685446739196777
10,0.011733382940292358,0.084586001932621,0.009944132529199123,0.07642009109258652
11,0.011619344353675842,0.0841698870062828,0.009844623506069183,0.07601100206375122
12,0.011504251509904861,0.08374448865652084,0.009742696769535542,0.07561546564102173
13,0.011386891826987267,0.08330100774765015,0.009636378847062588,0.07520320266485214
14,0.011265590786933899,0.0828360766172409,0.009522868320345879,0.07475711405277252
15,0.011137853376567364,0.08234269917011261,0.00939873419702053,0.07425662130117416
16,0.01100033801048994,0.08181024342775345,0.009260598570108414,0.07369508594274521
17,0.010850619524717331,0.08122902363538742,0.009107795543968678,0.07306154817342758
18,0.010697056539356709,0.08064141124486923,0.008943806402385235,0.07236208021640778
19,0.010582470335066319,0.08019674569368362,0.008795498870313168,0.07178674638271332
20,0.010423906147480011,0.07955393940210342,0.008761828765273094,0.07206496596336365
21,0.010213637724518776,0.0786684900522232,0.008515691384673119,0.07084303349256516
22,0.01008433848619461,0.07823221385478973,0.008388844318687916,0.0702829658985138
23,0.009881909005343914,0.07743445038795471,0.008227534592151642,0.06940756738185883
24,0.00975047331303358,0.07693730294704437,0.008123219944536686,0.0689554363489151
25,0.009639221243560314,0.07650379091501236,0.008041314780712128,0.068632110953331
26,0.009540355764329433,0.0761064663529396,0.007972348481416702,0.0683545246720314
27,0.009456267580389977,0.0757702887058258,0.007912665605545044,0.06811061501502991
28,0.009384804405272007,0.07548099756240845,0.007860212586820126,0.06790079176425934
29,0.009323474019765854,0.07522816210985184,0.007813715375959873,0.06773517280817032
30,0.009270249865949154,0.0750105008482933,0.007772265467792749,0.06758932024240494
31,0.009223651140928268,0.07482294738292694,0.007735162042081356,0.06746037304401398
32,0.009182579815387726,0.07466228306293488,0.007701843045651913,0.06734280288219452
33,0.009146190248429775,0.07452354580163956,0.007671852596104145,0.06724844127893448
34,0.00911382120102644,0.07440079748630524,0.0076448037289083,0.06716931611299515
35,0.009084932506084442,0.0742928609251976,0.00762037793174386,0.06710317730903625
36,0.009059077128767967,0.07419481873512268,0.007598294410854578,0.06703813374042511
37,0.009035883471369743,0.07410939037799835,0.007578312885016203,0.06697530299425125
